"","0","1","2","4","m_rate"
"AFG",124,2,0,0,0.0158730158730159
"AHO",73,0,1,0,0.027027027027027
"ALB",63,0,0,0,0
"ALG",522,8,4,5,0.0667903525046382
"AND",53,0,0,0,0
"ANG",267,0,0,0,0
"ANT",133,0,0,0,0
"ANZ",57,5,4,20,1.08139534883721
"ARG",2639,91,92,91,0.219361483007209
"ARM",158,9,5,2,0.155172413793103
"ARU",42,0,0,0,0
"ASA",35,0,0,0,0
"AUS",5788,510,452,342,0.392272983643542
"AUT",2781,53,88,29,0.116909522195866
"AZE",221,25,12,7,0.290566037735849
"BAH",334,15,11,14,0.248663101604278
"BAN",55,0,0,0,0
"BAR",218,1,0,0,0.0045662100456621
"BDI",37,0,1,1,0.153846153846154
"BEL",3161,166,193,96,0.258849557522124
"BEN",71,0,0,0,0
"BER",204,1,0,0,0.0048780487804878
"BHU",36,0,0,0,0
"BIH",73,0,0,0,0
"BIZ",76,0,0,0,0
"BLR",1122,66,40,18,0.174959871589085
"BOH",141,11,1,0,0.0849673202614379
"BOL",121,0,0,0,0
"BOT",89,0,1,0,0.0222222222222222
"BRA",3309,191,175,109,0.258192389006343
"BRN",123,1,1,1,0.0555555555555556
"BRU",10,0,0,0,0
"BUL",2605,141,142,53,0.216592995579735
"BUR",44,0,0,0,0
"CAF",67,0,0,0,0
"CAM",63,0,0,0,0
"CAN",6119,344,239,158,0.211953352769679
"CAY",80,0,0,0,0
"CGO",105,0,0,0,0
"CHA",41,0,0,0,0
"CHI",720,20,9,3,0.0664893617021277
"CHN",3414,258,317,334,0.515382835993523
"CIV",190,1,1,1,0.0362694300518135
"CMR",288,1,1,20,0.267741935483871
"COD",93,0,0,0,0
"COK",40,0,0,0,0
"COL",1039,14,9,5,0.0487347703842549
"COM",19,0,0,0,0
"CPV",18,0,0,0,0
"CRC",236,2,1,1,0.0333333333333333
"CRO",569,36,48,54,0.492220650636492
"CRT",11,0,0,0,0
"CUB",2070,116,129,164,0.415490116982654
"CYP",177,0,1,0,0.0112359550561798
"CZE",883,32,24,15,0.146750524109015
"DEN",2866,177,236,179,0.394736842105263
"DJI",37,1,0,0,0.0263157894736842
"DMA",18,0,0,0,0
"DOM",270,2,2,3,0.0649819494584837
"ECU",275,0,1,1,0.0216606498194946
"EGY",1592,12,8,7,0.0345892526250772
"ERI",42,1,0,0,0.0232558139534884
"ESA",218,0,0,0,0
"ESP",4420,135,243,109,0.215406562054208
"EST",408,24,10,9,0.177383592017738
"ETH",323,22,9,22,0.340425531914894
"EUN",430,67,61,92,0.856923076923077
"FIJ",215,0,0,13,0.228070175438596
"FIN",3084,217,125,132,0.279651489600899
"FRA",9006,587,575,465,0.338286466660397
"FRG",2054,188,172,144,0.433150899139953
"FSM",26,0,0,0,0
"GAB",62,0,1,0,0.0317460317460317
"GAM",56,0,0,0,0
"GBR",8932,620,729,636,0.423376385453879
"GBS",21,0,0,0,0
"GDR",1261,227,277,339,1.01568441064639
"GEO",215,18,6,8,0.251012145748988
"GEQ",40,0,0,0,0
"GER",5843,649,538,592,0.536998163211755
"GHA",335,22,1,0,0.0670391061452514
"GRE",2738,84,109,62,0.183762111593719
"GRN",52,0,1,1,0.111111111111111
"GUA",409,0,1,0,0.0048780487804878
"GUI",73,0,0,0,0
"GUM",111,0,0,0,0
"GUY",101,1,0,0,0.00980392156862745
"HAI",99,5,1,1,0.10377358490566
"HKG",669,1,2,1,0.0133729569093611
"HON",186,0,0,0,0
"HUN",5006,363,328,432,0.448197095774188
"INA",371,13,17,11,0.220873786407767
"IND",1188,40,19,131,0.436865021770682
"IOA",88,3,1,1,0.0967741935483871
"IRI",644,29,21,18,0.200842696629213
"IRL",1247,13,13,9,0.0585023400936037
"IRQ",231,1,0,0,0.00431034482758621
"ISL",409,2,15,0,0.0751173708920188
"ISR",629,7,1,1,0.0203761755485893
"ISV",238,0,1,0,0.00836820083682008
"ITA",6771,454,474,518,0.422782037239869
"IVB",42,0,0,0,0
"JAM",660,44,75,38,0.423500611995104
"JOR",79,0,0,1,0.05
"JPN",5486,333,287,230,0.288352272727273
"KAZ",761,29,22,19,0.179302045728039
"KEN",662,31,41,34,0.32421875
"KGZ",209,2,1,0,0.0188679245283019
"KIR",11,0,0,0,0
"KOR",3140,175,206,171,0.344257854821235
"KOS",7,0,0,1,0.5
"KSA",224,5,1,0,0.0304347826086957
"KUW",282,2,0,0,0.00704225352112676
"LAO",54,0,0,0,0
"LAT",433,6,11,3,0.0883002207505519
"LBA",84,0,0,0,0
"LBR",74,0,0,0,0
"LCA",28,0,0,0,0
"LES",66,0,0,0,0
"LIB",234,2,2,0,0.0252100840336134
"LIE",93,0,0,0,0
"LTU",477,48,7,6,0.159851301115242
"LUX",964,0,2,4,0.0206185567010309
"MAD",117,0,0,0,0
"MAL",45,0,0,0,0
"MAR",609,12,5,6,0.0727848101265823
"MAS",514,5,11,0,0.0509433962264151
"MAW",87,0,0,0,0
"MDA",183,5,3,0,0.0575916230366492
"MDV",49,0,0,0,0
"MEX",2700,54,26,30,0.0804270462633452
"MGL",427,14,10,2,0.0927152317880795
"MHL",14,0,0,0,0
"MKD",61,1,0,0,0.0161290322580645
"MLI",92,0,0,0,0
"MLT",116,0,0,0,0
"MNE",75,0,14,0,0.314606741573034
"MON",135,1,0,0,0.00735294117647059
"MOZ",76,1,0,1,0.0641025641025641
"MRI",143,1,0,0,0.00694444444444444
"MTN",29,0,0,0,0
"MYA",111,0,0,0,0
"NAM",73,0,4,0,0.103896103896104
"NBO",2,0,0,0,0
"NCA",129,0,0,0,0
"NED",4246,371,302,245,0.37858249419055
"NEP",88,0,0,0,0
"NFL",1,0,0,0,0
"NGR",783,46,30,23,0.224489795918367
"NIG",45,1,1,0,0.0638297872340425
"NOR",2008,167,196,227,0.564665127020785
"NRU",13,0,0,0,0
"NZL",1915,82,55,90,0.257703081232493
"OMA",66,0,0,0,0
"PAK",439,34,45,42,0.521428571428571
"PAN",136,2,0,1,0.0431654676258993
"PAR",117,0,17,0,0.253731343283582
"PER",507,0,14,1,0.0613026819923372
"PHI",676,7,3,0,0.0189504373177843
"PLE",21,0,0,0,0
"PLW",25,0,0,0,0
"PNG",108,0,0,0,0
"POL",4327,242,185,111,0.217060637204522
"POR",1460,26,11,4,0.0426382411725516
"PRK",617,34,15,16,0.187683284457478
"PUR",881,6,2,1,0.0157303370786517
"QAT",187,4,1,0,0.03125
"RHO",12,0,0,0,0
"ROT",12,0,0,0,0
"ROU",3080,290,200,161,0.35754489413026
"RSA",1555,52,47,32,0.162514827995255
"RUS",2678,331,278,296,0.578007256488976
"RWA",56,0,0,0,0
"SAA",93,0,0,0,0
"SAM",63,0,0,0,0
"SCG",236,26,26,12,0.42
"SEN",374,0,1,0,0.00533333333333333
"SEY",111,0,0,0,0
"SGP",340,4,4,1,0.0458452722063037
"SKN",42,0,0,0,0
"SLE",114,0,0,0,0
"SLO",477,15,9,6,0.112426035502959
"SMR",144,0,0,0,0
"SOL",27,0,0,0,0
"SOM",32,0,0,0,0
"SRB",275,41,29,15,0.441666666666667
"SRI",144,0,2,0,0.0273972602739726
"SSD",3,0,0,0,0
"STP",15,0,0,0,0
"SUD",106,0,1,0,0.0186915887850467
"SUI",3587,139,178,99,0.222583062702973
"SUR",67,1,0,1,0.072463768115942
"SVK",467,12,17,13,0.192534381139489
"SWE",4968,358,396,354,0.422317314022383
"SWZ",64,0,0,0,0
"SYR",153,1,1,1,0.0448717948717949
"TAN",159,0,2,0,0.0248447204968944
"TCH",3039,107,144,79,0.211041852181656
"TGA",44,0,1,0,0.0444444444444444
"THA",711,13,8,9,0.087719298245614
"TJK",56,2,1,1,0.133333333333333
"TKM",54,0,0,0,0
"TLS",8,0,0,0,0
"TOG",55,1,0,0,0.0178571428571429
"TPE",951,18,28,3,0.086
"TTO",336,17,8,7,0.165760869565217
"TUN",548,7,3,3,0.0445632798573975
"TUR",1083,28,27,40,0.205432937181664
"TUV",7,0,0,0,0
"UAE",142,1,0,1,0.0347222222222222
"UAR",121,1,1,0,0.024390243902439
"UGA",253,2,3,2,0.0615384615384615
"UKR",1791,95,51,42,0.184436584133401
"UNK",2,0,0,0,0
"URS",2559,596,635,832,1.12375594980528
"URU",512,30,2,31,0.274782608695652
"USA",10062,1197,1333,2472,0.912838555496548
"UZB",431,17,7,9,0.144396551724138
"VAN",35,0,0,0,0
"VEN",903,10,3,2,0.0261437908496732
"VIE",150,0,3,1,0.0649350649350649
"VIN",42,0,0,0,0
"VNM",62,0,0,0,0
"WIF",15,5,0,0,0.25
"YAR",11,0,0,0,0
"YEM",32,0,0,0,0
"YMD",5,0,0,0,0
"YUG",1663,92,161,130,0.456500488758553
"ZAM",181,1,1,0,0.0163934426229508
"ZIM",287,1,4,17,0.249190938511327
